nome,email,empresa,segmento,porte
"MARCELA DE BRITO PRESCENDO LTDA","meucnpj@contabilizei.com.br","MARCELA DE BRITO PRESCENDO LTDA","Clinica","EPP"
"NCB DERMATOLOGIA LTDA","sferacontabilsorocaba@gmail.com","NCB DERMATOLOGIA LTDA","Clinica","ME/MEI"
"66.639.200 ANDREA FLOR DA SILVA","abertura@maismei.com.br","66.639.200 ANDREA FLOR DA SILVA","Restaurante","ME/MEI"
"66.642.777 VIVIANE CONCEICAO ADOLFO","andrezaadolfo2@gmail.com","66.642.777 VIVIANE CONCEICAO ADOLFO","Restaurante","ME/MEI"
"66.643.094 LUIS GUILHERME ALVES","luisguilhermealves184@gmail.com","66.643.094 LUIS GUILHERME ALVES","Restaurante","ME/MEI"
"LANCHONETE E RESTAURANTE CONFIANCA LTDA","nildete.figueiredo.santos@gmail.com","LANCHONETE E RESTAURANTE CONFIANCA LTDA","Restaurante","ME/MEI"
"66.647.932 GUILHERME ROCHA CARDOSO DA SILVA","guilherrmerocha@icloud.com","66.647.932 GUILHERME ROCHA CARDOSO DA SILVA","Restaurante","ME/MEI"
"66.649.298 RAFAEL MARQUES PEIXOTO","abertura@maismei.com.br","66.649.298 RAFAEL MARQUES PEIXOTO","Restaurante","ME/MEI"
"DONA BEIJA BAR E RESTAURANTE LTDA","jmr@jmrcontabil.com.br","DONA BEIJA BAR E RESTAURANTE LTDA","Restaurante","EPP"
"BELLA PIZZARIA DA PRACA LTDA","lmv999@gmail.com","BELLA PIZZARIA DA PRACA LTDA","Restaurante","ME/MEI"
"66.653.385 MARITA CARRENO MORRA VACCA","mcarrenomorra@gmail.com","66.653.385 MARITA CARRENO MORRA VACCA","Restaurante","ME/MEI"
"66.655.091 SIDNEY MAIKON SILVA","maikon2626@icloud.com","66.655.091 SIDNEY MAIKON SILVA","Restaurante","ME/MEI"
"CLINICA DR MACEDO LTDA","gomesbertolazzo2@gmail.com","CLINICA DR MACEDO LTDA","Clinica","ME/MEI"
"CLINICA COSMETIC PLASTIC SURGERY LTDA","administrativo@consultoriavisao.com.br","CLINICA COSMETIC PLASTIC SURGERY LTDA","Clinica","ME/MEI"
"66.660.632 LEANDRO ANTONIO PEREIRA","leandroantpe@icloud.com","66.660.632 LEANDRO ANTONIO PEREIRA","Restaurante","ME/MEI"
"66.667.713 DAVI TOME DA SILVA CARDOSO","davitome09@gmail.com","66.667.713 DAVI TOME DA SILVA CARDOSO","Restaurante","ME/MEI"
"ALAN S. MOREIRA SERVICOS MEDICOS LTDA","meucnpj@contabilizei.com.br","ALAN S. MOREIRA SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"ALCANTARA GRILL EVENTOS E DELIVERY SLU LTDA","nova.vitoria@gmail.com","ALCANTARA GRILL EVENTOS E DELIVERY SLU LTDA","Restaurante","ME/MEI"
"TERRACO VILMA BAR E ROOFTOP LTDA","contato@lscontabilidade.adm.br","TERRACO VILMA BAR E ROOFTOP LTDA","Restaurante","EPP"
"INTEGRA PIZZARIA LTDA","integrapizzaria@gmail.com","INTEGRA PIZZARIA LTDA","Restaurante","ME/MEI"
"66.686.457 MARIA JUCELIA FRASINO DOS SANTOS","lojanovamarcos@gmail.com","66.686.457 MARIA JUCELIA FRASINO DOS SANTOS","Restaurante","ME/MEI"
"L' ABBATE COMERCIAL LTDA","eduardo.sikler@contabilconsult.com.br","L' ABBATE COMERCIAL LTDA","Restaurante","ME/MEI"
"LANCHONETE NUFER LTDA","reparticao@luzitanacontabilidade.com.br","LANCHONETE NUFER LTDA","Restaurante","ME/MEI"
"ASSISTENCIA MEDICA OLENKA CLINICA S/S LTDA","start@startcont.com.br","ASSISTENCIA MEDICA OLENKA CLINICA S/S LTDA","Clinica","ME/MEI"
